,Ticker,Shares
1,ABT,10.690716239428648
2,ACN,10.969876650993303
3,BMY,120.99808588804444
4,CL,64.21564553801171
5,CMCSA,25.683143845601315
6,COST,15.521845617444265
7,CSCO,177.18784836575006
8,GOOG,2.3851686783149963
9,KO,125.14268821988689
10,LMT,5.834173497274412
11,MO,24.787899933648028
12,MRK,76.90871616509247
13,NEE,53.70472608399876
14,ORCL,22.976792552257173
15,PEP,28.80235413513828
16,PFE,163.32643636544378
17,PG,8.579286080483232
18,PM,74.90345298454663
19,SO,44.32134357308259
20,T,370.912003941631
